span,zs,snr,method,p_tag,k_hat,assigned_mode_id,oracle_mode_id,oracle_status,abs_k_err,eq24_cost
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.43519243,9,9,UNIQUE,3.457069396972656e-05,9.82007029313955e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.42752252,10,10,UNIQUE,6.258487701416016e-05,9.82007029313955e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.41954582,11,11,UNIQUE,4.124641418457031e-05,9.82007029313955e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.41049533,12,12,UNIQUE,4.291534423828125e-06,9.82007029313955e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.40006427,13,13,UNIQUE,3.933906555175781e-06,9.82007029313955e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.38794582,14,14,UNIQUE,0.0006333589553833008,9.82007029313955e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.37521378,15,15,UNIQUE,0.0007559061050415039,9.82007029313955e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.43519243,9,9,UNIQUE,3.457069396972656e-05,9.736114144882673e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.38794582,14,14,UNIQUE,0.0006333589553833008,9.736114144882673e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.37521378,15,15,UNIQUE,0.0007559061050415039,9.736114144882673e-07
insufficient_1990m,4.0,R1_20dB,MMAR,PRINTED_LITERAL_CONTROL,1.40251863,13,13,UNIQUE,0.0024504661560058594,6.0047842456268484e-06
insufficient_1990m,4.0,R1_20dB,MMAR,PRINTED_LITERAL_CONTROL,1.40251863,13,13,UNIQUE,0.0024504661560058594,6.0047842456268484e-06
insufficient_1990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.48612059,1,1,UNIQUE,0.0008096694946289062,7.070714993915068e-05
insufficient_1990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.47553612,4,4,UNIQUE,0.002448558807373047,7.070714993915068e-05
insufficient_1990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.45881573,6,6,UNIQUE,0.0004309415817260742,7.070714993915068e-05
insufficient_1990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.43151087,9,9,ORACLE_MODE_ID_AMBIGUOUS,0.0036469697952270508,7.070714993915068e-05
insufficient_1990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.39576912,13,13,UNIQUE,0.004299044609069824,7.070714993915068e-05
insufficient_1990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.37030504,15,15,UNIQUE,0.0056645870208740234,7.070714993915068e-05
insufficient_1990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.48612059,1,1,UNIQUE,0.0008096694946289062,6.6510500473279105e-06
insufficient_1990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.47553612,4,4,UNIQUE,0.002448558807373047,6.6510500473279105e-06
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.48688758,1,1,UNIQUE,4.267692565917969e-05,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.48412641,2,2,UNIQUE,7.772445678710938e-05,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.47906428,3,3,UNIQUE,0.00028705596923828125,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.47308175,4,4,UNIQUE,5.841255187988281e-06,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.46587204,5,5,UNIQUE,3.528594970703125e-05,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.45835554,6,6,UNIQUE,2.9206275939941406e-05,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.45068563,7,7,UNIQUE,1.0728836059570312e-05,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.44286233,8,8,UNIQUE,2.300739288330078e-05,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.43519243,9,9,UNIQUE,3.457069396972656e-05,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.42752252,10,10,UNIQUE,6.258487701416016e-05,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.38855941,14,14,UNIQUE,1.9669532775878906e-05,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.48688758,1,1,UNIQUE,4.267692565917969e-05,7.855912095544699e-09
insufficient_1990m,50.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.48412641,2,2,UNIQUE,7.772445678710938e-05,7.855912095544699e-09
insufficient_1990m,50.0,R1_20dB,MMAR,PRINTED_LITERAL_CONTROL,1.48121185,3,3,UNIQUE,0.0018606185913085938,3.4617128370143315e-06
insufficient_1990m,50.0,R1_20dB,MMAR,PRINTED_LITERAL_CONTROL,1.48121185,3,3,UNIQUE,0.0018606185913085938,3.4617128370143315e-06
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.48673418,1,1,UNIQUE,0.00019609928131103516,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.47507593,3,4,UNIQUE,0.0019884109497070312,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.47277495,4,4,UNIQUE,0.00031256675720214844,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.46617884,5,5,UNIQUE,0.0003421306610107422,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.46403126,6,5,UNIQUE,0.0018055438995361328,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.44424291,7,8,UNIQUE,0.0014036893844604492,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.44286233,8,8,UNIQUE,2.300739288330078e-05,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.42767592,9,10,UNIQUE,9.083747863769531e-05,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.42491475,10,10,UNIQUE,0.0026704072952270508,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.42307398,11,11,UNIQUE,0.0034869909286499023,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.38273028,14,14,UNIQUE,0.005848884582519531,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.36386232,15,16,UNIQUE,0.0014672279357910156,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.36232834,16,16,UNIQUE,6.67572021484375e-05,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.46403126,5,5,UNIQUE,0.0018055438995361328,3.2680861998282857e-06
insufficient_1990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.42767592,10,10,UNIQUE,9.083747863769531e-05,3.2680861998282857e-06
