env,z,c
E2_shift150m_plus2,4380.0,1802.0
E2_shift150m_plus2,4400.0,1802.0
E2_shift150m_plus2,4420.0,1802.0
E2_shift150m_plus2,4440.0,1802.0
E2_shift150m_plus2,4460.0,1802.0
E2_shift150m_plus2,4480.0,1802.0
E2_shift150m_plus2,4500.0,1802.0
E2_shift150m_plus2,4520.0,1802.0
E2_shift150m_plus2,4540.0,1802.0
E2_shift150m_plus2,4560.0,1802.0
E2_shift150m_plus2,4580.0,1802.0
E2_shift150m_plus2,4600.0,1802.0
E2_shift150m_plus2,4620.0,1802.0
E2_shift150m_plus2,4640.0,1802.0
E2_shift150m_plus2,4660.0,1802.0
E2_shift150m_plus2,4680.0,1802.0
E2_shift150m_plus2,4700.0,1802.0
E2_shift150m_plus2,4720.0,1802.0
E2_shift150m_plus2,4740.0,1802.0
E2_shift150m_plus2,4760.0,1802.0
E2_shift150m_plus2,4780.0,1802.0
E2_shift150m_plus2,4800.0,1802.0
E2_shift150m_plus2,4820.0,1802.0
E2_shift150m_plus2,4840.0,1802.0
E2_shift150m_plus2,4860.0,1802.0
E2_shift150m_plus2,4880.0,1802.0
E2_shift150m_plus2,4900.0,1802.0
E2_shift150m_plus2,4920.0,1802.0
E2_shift150m_plus2,4940.0,1802.0
E2_shift150m_plus2,4960.0,1802.0
E2_shift150m_plus2,4980.0,1802.0
E2_shift150m_plus2,5000.0,1802.0
E2_shift150m_plus2,1500.0,1502.035
