pair_id,mechanism,source,snr_db,ref_r0_km,ref_v,ref_psi_deg,alt_r0_km,alt_v,alt_psi_deg,delta_r_km,delta_v,delta_psi_deg,rc2_bearing_rmse_deg,T_s,turn_deg,layer,available,reject_rate_wrong,retain_rate_true,mean_margin,mean_c_ref,mean_c_alt
A05,A,S0,noiseless,50.0,2.0,0.0,57.0,2.0,0.0,7.0,2.220446049250313e-16,0.0,0.0,300.0,0.0,RC2+Doppler,False,,,,,
A05,A,S0,noiseless,50.0,2.0,0.0,57.0,2.0,0.0,7.0,2.220446049250313e-16,0.0,0.0,300.0,0.0,RC2+CZ+Doppler,True,0.0,1.0,3.3130258265634246e-19,2.9745562843117456e-20,3.610481454994599e-19
A06,A,S0,noiseless,50.0,2.0,0.0,45.0,1.2,0.0,5.0,0.8,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,0.0,0.0
A06,A,S0,noiseless,50.0,2.0,0.0,45.0,1.2,0.0,5.0,0.8,0.0,0.0,600.0,0.0,RC2+CZ,True,1.0,1.0,0.0012087305184271366,7.68217429298853e-21,0.0012087305184271366
A06,A,S0,noiseless,50.0,2.0,0.0,45.0,1.2,0.0,5.0,0.8,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A06,A,S0,noiseless,50.0,2.0,0.0,45.0,1.2,0.0,5.0,0.8,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,1.0,1.0,0.0012087305184271366,7.68217429298853e-21,0.0012087305184271366
A06,A,S0,20.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,7.485940383620465e-07,7.485940383620465e-07
A06,A,S0,20.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+CZ,True,0.0,1.0,0.0011220966846582465,0.01061934495292045,0.011741441637578696
A06,A,S0,20.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A06,A,S0,20.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,1.0,0.0011220966846582465,0.01061934495292045,0.011741441637578696
A06,A,S0,10.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,7.934889801465487e-07,7.934889801465487e-07
A06,A,S0,10.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+CZ,True,0.0,1.0,0.0015773778570322364,0.09614513982716733,0.09772251768419957
A06,A,S0,10.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
