scenario_base,turn_deg,T_s,psi_deg,n_obs,fim_min,fim_max,sv_min,sv_max,cond,rank_tol,crlb_r_km,crlb_v,crlb_psi_deg,crlb_theta_deg,geom_sv_min,geom_cond,mean_v_los,mean_v_cross,bearing_span_rad,bearing_span_deg,crlb_r_note
LIN,0.0,1200.0,5.0,121,0.0,39751516.66735723,5.387298034842809e-20,6304.880384857211,1.1703232945494864e+23,3,,20.777141412774284,49.57064459948155,0.0268265260786737,1.1126424810493926e-22,9.890052153714287e+22,-0.0072459246101543,0.1743268960536263,0.0041842155033256,0.2397378889137686,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,1200.0,10.0,121,0.0,39771518.028904825,1.1077320606344802e-19,6306.466366270798,5.693133376187215e+22,3,,10.309364256691742,49.54440757042061,0.0268219144102275,3.400688638446815e-22,3.236656276417571e+22,-0.0289360816354752,0.3474190016343499,0.0083410017202358,0.477904195480873,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,1200.0,15.0,121,2.1076708495853928e-22,39804769.29683475,1.7773491083560242e-19,6309.102099097361,3.549725863892336e+22,3,,6.784718321949068,49.50088581339893,0.0268142616759887,3.2738709090053325e-22,3.363437579986608e+22,-0.0649277932554464,0.5180484490910351,0.0124430243128567,0.7129327775053627,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,2.0,60.0,-15.0,7,3.309912047439482e-15,2298153.865334617,5.7531832694723627e-08,1515.96631405009,26350043846.05886,3,0.0133218609634739,7892.596124438635,60425.04921180493,0.0865787876483058,1.0041199052297316e-10,26350043846.05145,-0.0674428999570731,-0.5475735979000027,0.0006630987492792,0.0379927597341055,0.01332 km (defined)
LIN,2.0,60.0,-10.0,7,3.184049806239957e-15,2298050.1792049394,5.6427365969045813e-08,1515.93211563214,26865193680.38073,3,0.0274316694877448,11368.996441662584,57276.304873243,0.0862833794020287,9.848433243868932e-11,26865193680.401382,-0.02977459370024,-0.3772166942485398,0.0004586513780743,0.0262787882315214,0.02743 km (defined)
LIN,2.0,60.0,-5.0,7,2.917233006690476e-15,2297987.667453993,5.401141449328889e-08,1515.911497236561,28066502450.60548,3,0.0828805312666373,19793.060223206463,49466.92418356136,0.0855439861490665,9.426770165671726e-11,28066502450.608547,-0.0070620893677655,-0.2042261188220509,0.0002510552826582,0.0143844081207842,0.08288 km (defined)
LIN,2.0,60.0,-3.0,7,2.717516547635476e-15,2297974.305461457,5.212985270603877e-08,1515.9070899832416,29079443184.531338,3,,0.0215541121581688,47.27766721845873,0.0681383779103078,9.098375683009846e-11,29079443184.50153,-0.0022069896843268,-0.1345859017724317,0.0001674861179077,0.0095962476831436,n/a
LIN,2.0,60.0,0.0,7,2.691666473551997e-15,2297966.7923826254,5.1880478223172574e-08,1515.904611900968,29219171908.555862,2,,1.603334427724196e-05,47.245573942020144,0.0681385182191912,9.054851625164032e-11,29219171908.14203,0.0005229834514017,-0.0299138397246661,4.187936540438391e-05,0.0023995108863573,n/a
LIN,2.0,60.0,3.0,7,1.3877710877967208e-14,2297974.330010525,1.1780413625083353e-07,1515.9070980803951,12868029479.479923,2,,0.0215863323497256,47.2777631992347,0.0681384431675198,2.056070050022924e-10,12868029479.618422,-0.0022157569015206,0.0747581573457535,8.372711292749789e-05,0.0047972102015608,n/a
LIN,2.0,60.0,5.0,7,6.425071133327103e-15,2297987.7083367766,8.015647196849282e-08,1515.911510721116,18911904098.23648,3,,0.036068493265413,47.33489831476147,0.0681382736308551,1.3989943526290862e-10,18911904098.285866,-0.0070766896228272,0.1443982589503842,0.0001672957905625,0.0095853427295374,n/a
LIN,2.0,60.0,10.0,7,4.551471979971721e-15,2298050.260667817,6.746458140710005e-08,1515.9321425010487,22470044442.334747,3,0.0574084116347428,16572.893889457166,83531.29551844785,0.0886963616236535,1.17747907403467e-10,22470044442.315186,-0.0298036839809378,0.3173882944268563,0.0003748896077457,0.0214795923071459,0.05741 km (defined)
LIN,2.0,60.0,15.0,7,4.186590848638766e-15,2298153.986774269,6.470387483016455e-08,1515.966354103636,23429297829.268528,3,0.021847184529476,10149.38999248464,77727.107668293,0.0881740399033353,1.1292956545840079e-10,23429297829.282005,-0.0674862606167682,0.4877443025432318,0.0005793332006183,0.033193347327236,0.02185 km (defined)
LIN,2.0,120.0,-15.0,13,1.812185442210883e-14,4268361.374158564,1.3461743313814266e-07,2066.001300618798,15347204685.582546,3,0.0013978151291239,1614.397141818768,12327.090825182271,0.0709725849552328,2.34951743884285e-10,15347204685.589478,-0.0672195022962556,-0.549896133410287,0.0013263044170231,0.0759916454449867,0.001398 km (defined)
LIN,2.0,120.0,-10.0,13,1.7437336506598256e-14,4267977.812456106,1.320505154355423e-07,2065.90847146143,15644834589.607187,3,0.0028721841737738,2324.0799995215298,11677.4492095656,0.0706038346878858,2.3047162733062287e-10,15644834589.604324,-0.0296467665727898,-0.3795241694130734,0.0009173353410819,0.0525594434421879,0.002872 km (defined)
