r_km,z_m,J
57.0,160.0,5.90267859035265e-08
57.25,160.0,5.610281461621014e-08
57.5,160.0,5.351157772448545e-08
57.75,160.0,5.1144347423814907e-08
58.0,160.0,4.89283333848789e-08
58.25,160.0,4.6871672321202595e-08
58.5,160.0,4.50213650804443e-08
58.75,160.0,4.339185843971194e-08
59.0,160.0,4.193922742423695e-08
59.25,160.0,4.0597834427558155e-08
59.5,160.0,3.933536185662945e-08
59.75,160.0,3.816861393612925e-08
60.0,160.0,3.712879104167399e-08
45.0,162.5,1.658031645312974e-08
45.25,162.5,1.7324957468645152e-08
45.5,162.5,1.8211875119078513e-08
45.75,162.5,1.920027692392523e-08
46.0,162.5,2.0245182308364917e-08
46.25,162.5,2.1361890922833027e-08
46.5,162.5,2.2628102058774857e-08
46.75,162.5,2.4115675345548482e-08
47.0,162.5,2.5828822414197816e-08
47.25,162.5,2.7712248051869892e-08
47.5,162.5,2.9730113482173692e-08
47.75,162.5,3.194016495733365e-08
48.0,162.5,3.446858420907972e-08
48.25,162.5,3.74044361040049e-08
48.5,162.5,4.072787440634329e-08
48.75,162.5,4.4352157502203227e-08
49.0,162.5,4.825696864330098e-08
49.25,162.5,5.257183688378575e-08
49.5,162.5,5.748470455202437e-08
49.75,162.5,6.305272071127632e-08
50.0,162.5,6.91147108433654e-08
50.25,162.5,7.542270530347395e-08
50.5,162.5,8.189660150037525e-08
50.75,162.5,8.869761169982837e-08
51.0,162.5,9.594542826896202e-08
51.25,162.5,1.0332733435536312e-07
51.5,162.5,1.1002975730534104e-07
51.75,162.5,1.151882812466809e-07
52.0,162.5,1.1853252313009932e-07
52.25,162.5,1.2053497577824146e-07
52.5,162.5,1.2183876030302798e-07
52.75,162.5,1.2256593928672288e-07
53.0,162.5,1.2218893685744803e-07
53.25,162.5,1.2006493044225408e-07
53.5,162.5,1.1610889993907136e-07
53.75,162.5,1.1092675056278978e-07
54.0,162.5,1.0533461347606021e-07
54.25,162.5,9.982907911432193e-08
54.5,162.5,9.446721549455361e-08
54.75,162.5,8.912650351078355e-08
55.0,162.5,8.380935112572985e-08
55.25,162.5,7.87017828685066e-08
55.5,162.5,7.400475632302062e-08
55.75,162.5,6.977231425953079e-08
56.0,162.5,6.591160262026108e-08
56.25,162.5,6.230863114353724e-08
56.5,162.5,5.8937038138751063e-08
56.75,162.5,5.5850038593874274e-08
57.0,162.5,5.3091922747050546e-08
57.25,162.5,5.0635831971845846e-08
57.5,162.5,4.840259748561948e-08
57.75,162.5,4.632805250537331e-08
58.0,162.5,4.440520995352415e-08
58.25,162.5,4.266310338341128e-08
58.5,162.5,4.111481122226479e-08
58.75,162.5,3.973155882075474e-08
59.0,162.5,3.846352314429424e-08
59.25,162.5,3.7280170506193144e-08
59.5,162.5,3.6187035479251506e-08
59.75,162.5,3.520476443696907e-08
60.0,162.5,3.433702888688828e-08
45.0,165.0,1.6038527617112663e-08
45.25,165.0,1.681058536817659e-08
45.5,165.0,1.768993773687555e-08
45.75,165.0,1.8641269305952335e-08
46.0,165.0,1.9659516903303142e-08
46.25,165.0,2.0791459887092856e-08
46.5,165.0,2.2099801988417767e-08
46.75,165.0,2.3609614152597658e-08
47.0,165.0,2.529463360989581e-08
47.25,165.0,2.7121407342178827e-08
47.5,165.0,2.9112136479270134e-08
