f_hz,r_km,beta_eff,L_detrend
171.7741935483871,50.25,0.8042361831541771,-0.5107203264467728
171.7741935483871,50.5,0.8266256391902492,-0.45531263312550163
171.7741935483871,50.75,0.8495794650684656,-0.397865081396948
171.7741935483871,51.0,0.8711078700541773,-0.3396885565954826
171.7741935483871,51.25,0.8897351998549935,-0.2818134826902552
171.7741935483871,51.5,0.9043524494547606,-0.22501668308356582
171.7741935483871,51.75,0.9143258171109839,-0.1698573726556103
171.7741935483871,52.0,0.9196535270686891,-0.11672889710666201
171.7741935483871,52.25,0.9208583570881812,-0.0659173258836172
171.7741935483871,52.5,0.9185100793966984,-0.01764202611351262
171.7741935483871,52.75,0.9127196191292063,0.02793839727215408
171.7741935483871,53.0,0.9031021817391716,0.07073920257038235
171.7741935483871,53.25,0.8892843229130697,0.11074754149880484
171.7741935483871,53.5,0.8714394600620907,0.14798980440126352
171.7741935483871,53.75,0.8502113645253743,0.1824884229773871
171.7741935483871,54.0,0.8260006817026861,0.21424412541891957
171.7741935483871,54.25,0.7983357679578277,0.24325474739140018
171.7741935483871,54.5,0.7659754997931176,0.26954287669965105
171.7741935483871,54.75,0.7275515086862778,0.2931584220455208
171.7741935483871,55.0,0.681838098084621,0.31415305865957377
171.7741935483871,55.25,0.626900591978528,0.33255620615759884
171.7741935483871,55.5,0.5583121788408013,0.34838068277942
171.7741935483871,55.75,0.4669844672084408,0.36165065873130464
171.7741935483871,56.0,0.3354825880923455,0.3724185572871581
171.7741935483871,56.25,0.1260070937083504,0.380751605383707
171.7741935483871,56.5,-0.27128870911245667,0.3867040820486807
171.7741935483871,56.75,-1.3831709863272363,0.3903084824588601
171.7741935483871,57.0,,0.39159742043458867
171.7741935483871,57.25,3.5363018164007265,0.39063234433552396
171.7741935483871,57.5,2.163707908407268,0.38750794530588983
171.7741935483871,57.75,1.7227986050033604,0.3823287451194468
171.7741935483871,58.0,1.4987675440595336,0.3751846032492958
171.7741935483871,58.25,1.359224132115813,0.3661520473761448
171.7741935483871,58.5,1.2630757579991296,0.35531829494118106
171.7741935483871,58.75,1.1930324675527961,0.3428002116937243
171.7741935483871,59.0,1.1392479416995485,0.3287386467987752
171.7741935483871,59.25,1.0951866777526835,0.3132770819654679
171.7741935483871,59.5,1.0569796487740761,0.2965501050542941
171.7741935483871,59.75,1.0229938219773667,0.2786942445888347
171.7741935483871,60.0,1.0134535095622546,0.25986726202614235
179.03225806451613,45.0,0.6815643204185544,0.8829420473106158
179.03225806451613,45.25,0.73110980389084,0.8289302629532447
179.03225806451613,45.5,0.7451355581187425,0.7699196045434871
179.03225806451613,45.75,0.7584852931160898,0.7061819968733483
179.03225806451613,46.0,0.77007204917104,0.6380001472148971
179.03225806451613,46.25,0.778060756072151,0.5655059443440207
179.03225806451613,46.5,0.7817849564164495,0.4887169632219419
179.03225806451613,46.75,0.7821016106313844,0.4077276819951514
179.03225806451613,47.0,0.7800761121891479,0.32285862402505794
179.03225806451613,47.25,0.7756699718887822,0.23462475766624813
179.03225806451613,47.5,0.7677832715765318,0.1436010509214567
179.03225806451613,47.75,0.7553362432149081,0.050361877264682775
179.03225806451613,48.0,0.7381992911934562,-0.04443469469141381
179.03225806451613,48.25,0.7171940710387306,-0.1398964028921419
179.03225806451613,48.5,0.693423849615178,-0.23481315508903444
179.03225806451613,48.75,0.6677704707574345,-0.3276848416299556
179.03225806451613,49.0,0.6409343019438621,-0.4167889932125738
179.03225806451613,49.25,0.613689645515786,-0.5002179579935983
179.03225806451613,49.5,0.586870017885545,-0.5759000193505756
