r_km,z_m,J_amp,J_coh
45.5,162.5,0.10681506828573972,0.93504731365044
45.75,162.5,0.10072122977267373,0.9281640488775609
46.0,162.5,0.09457450065685713,0.8779677925158171
46.25,162.5,0.08842354287836596,0.9532752245199961
46.5,162.5,0.08232111741383019,0.9627034237247433
46.75,162.5,0.0763103935215077,0.9202786359090447
47.0,162.5,0.07041914948219208,0.9445809206242521
47.25,162.5,0.06466250143216246,0.5085070723136456
47.5,162.5,0.05905197953916175,0.8991327266123225
47.75,162.5,0.05360637474748453,0.9174123385145725
48.0,162.5,0.04835727578548543,0.5356631964490907
48.25,162.5,0.04334514827095315,0.9601171902949062
48.5,162.5,0.03860964778014053,0.9144943540400899
48.75,162.5,0.03418130361186711,0.8684663833446017
49.0,162.5,0.03007847804021635,0.9183175200221367
49.25,162.5,0.026309688077388205,0.9388151408576629
49.5,162.5,0.022879548132207828,0.8723387979901579
49.75,162.5,0.019795171830089497,0.9320498526046509
50.0,162.5,0.017069178534853013,0.037582789811516304
50.25,162.5,0.014717744708761082,0.9493797511363927
50.5,162.5,0.012755981469335875,0.8941997589917207
50.75,162.5,0.01119407529540517,0.9004091816608072
51.0,162.5,0.01003591354968858,0.9058585163498725
51.25,162.5,0.009280147415548945,0.8203977738029602
51.5,162.5,0.00892275285083688,0.8523178120008921
51.75,162.5,0.008959561574084618,0.9561559115549583
52.0,162.5,0.009387215516835745,0.5842776123230642
52.25,162.5,0.010202184952457172,0.9120188338972344
52.5,162.5,0.011398955954469048,0.8908914097369584
52.75,162.5,0.01296877072725,0.5335319168649207
53.0,162.5,0.014899600434236882,0.9097023222273151
53.25,162.5,0.017177310105245147,0.8682686721855573
53.5,162.5,0.0197874164511882,0.8298202636434568
53.75,162.5,0.022716367706729246,0.9576887237232001
54.0,162.5,0.02595139728851481,0.7440087840027845
54.25,162.5,0.029479018855464556,0.8620843745093748
54.5,162.5,0.033283249177289864,0.8989119780940751
54.75,162.5,0.037344739862351095,0.31719374933765
55.0,162.5,0.04164142263632442,0.926640173325228
55.25,162.5,0.04615056229072556,0.9472883456000252
55.5,162.5,0.050851312357103606,0.8561237657051314
55.75,162.5,0.055726248093294295,0.9292354996376523
56.0,162.5,0.06076074931823339,0.7210003473370807
56.25,162.5,0.06594060297898341,0.8048193864765446
56.5,162.5,0.07124942048191407,0.917330071785664
56.75,162.5,0.07666741422553447,0.9070970623192688
57.0,162.5,0.08217222002956193,0.9362448098494234
