f_hz,z_s_m,mode_id,k_r,adj_delta_k_r,phi_m_zs,phi_m_zr,A_m,A_norm,effective_A0p1,effective_A0p2
235.0,200.0,2,0.9843599271385817,4.820405222982771e-06,-0.004059042473297842,-0.004059042473297842,1.647582580003586e-05,0.036261038156406966,False,False
235.0,200.0,3,0.9843551067333587,6.303642448246549e-06,0.0018546379119299637,0.0018546379119299637,3.439681784367936e-06,0.007570268946919326,False,False
235.0,200.0,4,0.9843488030909104,7.786908169049589e-06,0.009027294303960265,0.009027294303960265,8.149204245031345e-05,0.1793528346681063,True,False
235.0,200.0,5,0.9843410161827414,9.270209091583048e-06,0.002317560752389678,0.002317560752389678,5.3710878410170105e-06,0.011821029398362989,False,False
235.0,200.0,6,0.9843317459736498,1.0753551922704219e-05,-0.01151590352583367,-0.01151590352583367,0.00013261603401630833,0.29186974467806365,True,True
235.0,200.0,7,0.9843209924217271,1.2236943370380615e-05,-0.009231745194877662,-0.009231745194877662,8.52251193431468e-05,0.18756882610275336,True,False
235.0,200.0,8,0.9843087554783567,1.3720390143467931e-05,0.009331753797180889,0.009331753797180889,8.708162893119994e-05,0.19165474967509313,True,False
235.0,200.0,9,0.9842950350882133,1.5203898952043104e-05,0.01567286342252771,0.01567286342252771,0.00024563864786120696,0.5406170525767547,True,True
235.0,200.0,10,0.9842798311892612,1.668747650795943e-05,-0.002690870162928867,-0.002690870162928867,7.240782233740828e-06,0.015935970921672305,False,False
235.0,200.0,11,0.9842631437127533,1.817112952429145e-05,-0.01872714370885239,-0.01872714370885239,0.00035070591149200973,0.7718557232051804,True,True
235.0,200.0,12,0.984244972583229,1.965486471566802e-05,-0.00635142407769848,-0.00635142407769848,4.034058781476799e-05,0.08878411387428022,False,False
235.0,200.0,13,0.9842253177185133,2.1138688799160477e-05,0.01688437389983999,0.01688437389983999,0.0002850820819895978,0.6274266539471572,True,True
235.0,200.0,14,0.9842041790297141,2.262260849339448e-05,0.014963020199708665,0.014963020199708665,0.00022389197349688953,0.49275559795408236,True,True
235.0,200.0,15,0.9841815564212207,2.410663051910511e-05,-0.010319468742039678,-0.010319468742039678,0.00010649143511793397,0.23437307719856662,True,True
235.0,200.0,16,0.9841574497907016,2.5590761599580958e-05,-0.02051591598412307,-0.02051591598412307,0.0004209028086675965,0.9263494886672908,True,True
235.0,200.0,17,0.984131859029102,2.7075008460775152e-05,0.0006447029842475529,0.0006447029842475529,4.1564193789770036e-07,0.0009147710319611805,False,False
235.0,200.0,18,0.9841047840206413,2.85593778305282e-05,0.021315890413259993,0.021315890413259993,0.0004543671841101093,1.0,True,True
235.0,200.0,19,0.9840762246428107,,0.00966208206299779,0.00966208206299779,9.335582979210363e-05,0.2054634072549575,True,True
235.0,210.0,0,0.9843651183178075,1.8539894379721034e-06,0.0005686516011437978,0.0005237540769531433,2.978335944649968e-07,0.0006869722749377643,False,False
235.0,210.0,1,0.9843632643283695,3.3371897878442525e-06,-0.001699312910208838,-0.0016514066359001366,2.8062566163896477e-06,0.006472810749517104,False,False
235.0,210.0,2,0.9843599271385817,4.820405222982771e-06,-0.004309063002962379,-0.004059042473297842,1.749066974914064e-05,0.0403433508209042,False,False
235.0,210.0,3,0.9843551067333587,6.303642448246549e-06,0.001597626915909888,0.0018546379119299637,2.9630194473662225e-06,0.006834394266699274,False,False
235.0,210.0,4,0.9843488030909104,7.786908169049589e-06,0.009276889703437739,0.009027294303960265,8.374521357831113e-05,0.19316370267224064,True,False
235.0,210.0,5,0.9843410161827414,9.270209091583048e-06,0.0031403592942017733,0.002317560752389678,7.27797344864418e-06,0.016787112232697916,False,False
235.0,210.0,6,0.9843317459736498,1.0753551922704219e-05,-0.011218802196957206,-0.01151590352583367,0.00012919464377557,0.2979957264515645,True,True
235.0,210.0,7,0.9843209924217271,1.2236943370380615e-05,-0.010391320760132178,-0.009231745194877662,9.593002549578273e-05,0.2212687523314993,True,True
235.0,210.0,8,0.9843087554783567,1.3720390143467931e-05,0.008024494905689789,0.009331753797180889,7.488261080662939e-05,0.17272154134094905,True,False
235.0,210.0,9,0.9842950350882133,1.5203898952043104e-05,0.016486614339521168,0.01567286342252771,0.00025839245484320214,0.5959987584652743,True,True
235.0,210.0,10,0.9842798311892612,1.668747650795943e-05,-0.00036112713750504743,-0.002690870162928867,9.717462393362423e-07,0.0022413949839949687,False,False
235.0,210.0,11,0.9842631437127533,1.817112952429145e-05,-0.018382370172049068,-0.01872714370885239,0.00034424928792128456,0.7940330468555787,True,True
235.0,210.0,12,0.984244972583229,1.965486471566802e-05,-0.009137558954668883,-0.00635142407769848,5.80365119560733e-05,0.13386493461066604,True,False
235.0,210.0,13,0.9842253177185133,2.1138688799160477e-05,0.014843879587106848,0.01688437389983999,0.00025062961307291447,0.5780932663716241,True,True
235.0,210.0,14,0.9842041790297141,2.262260849339448e-05,0.01720686058387176,0.014963020199708665,0.000257466602490044,0.5938632206712654,True,True
