f_hz,mode_id,class,k_r,k2,kr_max_allowed,phi_180,phi_190,phi_200,phi_210,phi_220,A_norm_zs200,effective_0p1,effective_0p2,residual,n_z
235.0,1293,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.33044150481576273,0.10919158810490574,0.9843656981248018,-0.0063184911310165785,0.011706015194838552,-0.015416650686513324,0.016895608517077006,-0.015906646858314888,0.09026982276710135,False,False,5.748884997801928e-15,4001
235.0,1294,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.32941723194681033,0.10851571270349863,0.9843656981248018,0.007558729892962482,-0.012693900917043479,0.01596568043788452,-0.01687061494762027,0.015252469619933559,0.09681382750266578,False,False,6.4474367846619355e-15,4001
235.0,1295,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.328391113444705,0.10784072338945311,0.9843656981248018,0.008745691136691533,-0.01358619741540949,0.016384085015485567,-0.016695544141672486,0.014451362593390672,0.10195462017272276,True,False,6.29932473600337e-15,4001
235.0,1296,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3273632381039358,0.10716668966189417,0.9843656981248018,-0.00987148116354267,0.01437648550521847,-0.01666881896340254,0.01637251640020438,-0.013511860872525006,0.1055290880385266,True,False,6.072350373500636e-15,4001
235.0,1297,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.32633375798432385,0.10649372160017123,0.9843656981248018,0.010928402008230868,-0.015058897658910256,0.01681777009623077,-0.01590489043174488,0.012443846732326694,0.10742351230676611,True,False,5.098164674208242e-15,4001
235.0,1298,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.32530292118981646,0.10582199053462796,0.9843656981248018,-0.0119088873353619,0.01562807972687538,-0.016829747505159264,0.015297265448334917,-0.011258543351112302,0.10757657820053414,True,False,5.285351887261825e-15,4001
235.0,1299,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3242711154595267,0.1051517563213657,0.9843656981248018,0.012805437990991434,-0.016079176618515392,0.016704515004753943,-0.014555542622459007,0.009968570973178773,0.10598155010630149,True,False,5.54729508336302e-15,4001
235.0,1300,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.32323891952818556,0.10448339909774883,0.9843656981248018,0.013610622571290738,-0.016407915539108676,0.016442938488168368,-0.013687095938957661,0.00858808642617048,0.10268840060330868,True,False,6.4539225522065805e-15,4001
235.0,1301,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3222071480257064,0.10381744623885947,0.9843656981248018,0.014317302523111853,-0.016610944156484873,0.016047371638084156,-0.012701118157657443,0.007132997494793268,0.09780709193286061,False,False,6.720302965975107e-15,4001
235.0,1302,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3211768498716339,0.10315456889346608,0.9843656981248018,-0.014919415768748383,0.01668671771251422,-0.015522472827780489,0.011609190532179407,-0.005621141391485211,0.09151332645243006,False,False,4.364343270116584e-15,4001
235.0,1303,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.320149172006545,0.10249549233647635,0.9843656981248018,0.015413854317000234,-0.016637331048806613,0.01487661858483492,-0.01042596534920752,0.004072051835033487,0.08405643801313949,False,False,5.319736326676372e-15,4001
235.0,1304,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.31912494570592714,0.10184073097181096,0.9843656981248018,0.01580376343739309,-0.016471306895745986,0.014123573833161351,-0.009169312301787752,0.002505473033924057,0.07576205299727089,False,False,5.8054543480771465e-15,4001
235.0,1305,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.31810389489211693,0.10119008794553498,0.9843656981248018,0.01610181459524633,-0.016205508001899148,0.013282515818500642,-0.00785830780847728,0.0009376097535713648,0.06700746821037638,False,False,5.224193385625484e-15,4001
235.0,1306,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3170837147106539,0.10054208213470733,0.9843656981248018,0.016328365070064268,-0.015861366952381592,0.012372844456448717,-0.006507488793864855,-0.0006240921821457187,0.058143561720432585,False,False,5.031408924253843e-15,4001
235.0,1307,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.31605986461124974,0.09989383801808151,0.9843656981248018,-0.016499822876529603,0.015452633049211266,-0.011403603679409327,0.005120035554918538,0.0021825280001986492,0.04939087911354457,False,False,4.762231650136921e-15,4001
235.0,1308,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3150268273285546,0.09924190193669495,0.9843656981248018,-0.016614759534832456,0.014974085751616859,-0.010367261962829536,0.00368814824957963,0.0037437356211441645,0.040821660875273565,False,False,5.70081427268334e-15,4001
235.0,1309,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3139801513593448,0.09858353544763707,0.9843656981248018,0.01665388272653615,-0.014405503301572607,0.009247365984087931,-0.0022032524600788515,-0.005305953202406956,0.03247869849283216,False,False,5.961100761677215e-15,4001
235.0,1310,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.31291762738984036,0.09791744153128697,0.9843656981248018,0.01659354600824697,-0.013726661637479539,0.00803230774244575,-0.0006658945337656944,-0.006855653872934574,0.024504350960086917,False,False,5.647987001293547e-15,4001
235.0,1311,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.31183904001765705,0.09724358687913391,0.9843656981248018,-0.016416994443560488,0.012927168046741789,-0.00672167410494824,-0.0009128636444995866,0.008371640944638608,0.01716000578195941,False,False,4.437383907350885e-15,4001
235.0,1312,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3107452766967705,0.09656262698935246,0.9843656981248018,0.016116465601743166,-0.012006640876131548,0.0053242192855895674,0.002515525777157592,-0.00983056741189154,0.010766496258905916,False,False,5.708635624475115e-15,4001
