cluster_id,n_modes,k_min,k_max,k_center,k_span,k_span_over_dkr,E_C,E_C_norm,f_hz,alpha,grid
15,4,1.3933864025159433,1.3939609510411473,1.3936740336468112,0.0005745485252039995,0.21946137079769984,2.529555594959287e-06,0.0268086713532138,338.0,0.5,4001
16,5,1.3952762119054316,1.396011439375409,1.395644581849967,0.0007352274699774508,0.2808362067452625,2.984145716161323e-06,0.03162649673883027,338.0,0.5,4001
17,4,1.397091206794235,1.397620400665967,1.3973562067722012,0.0005291938717320033,0.2021371692962082,2.8253604493454362e-06,0.029943662788755338,338.0,0.5,4001
18,4,1.3988263309534446,1.3993303246102347,1.399078766883771,0.0005039936567901027,0.19251139623625207,3.0004981512576057e-06,0.03179980269786694,338.0,0.5,4001
19,5,1.4001523462773402,1.4014177623377468,1.4005986036718832,0.0012654160604066433,0.48335333059581537,3.7900444001040464e-06,0.04016755154104968,338.0,0.5,4001
20,6,1.4015713319222691,1.402758830032137,1.4021688355102802,0.001187498109867846,0.45359086583460084,5.929530519683394e-06,0.06284219856555541,338.0,0.5,4001
21,5,1.402901688968694,1.4041189897794262,1.4035604136706163,0.0012173008107321248,0.46497465901869456,4.584780255458532e-06,0.0485903007390789,338.0,0.5,4001
22,6,1.4042457963927715,1.4054711216743283,1.4048399140212409,0.0012253252815568327,0.4680397810925721,1.1154589344287509e-05,0.11821828324586695,338.0,0.5,4001
23,9,1.405593172957546,1.4068198851549543,1.4063010561244786,0.0012267121974083306,0.46856954392477623,3.568326982655318e-05,0.3781775168311774,338.0,0.5,4001
0,1,1.3409478468778948,1.3409478468778948,1.3409478468778948,0.0,0.0,3.6034832606718304e-07,0.003819034404883804,338.0,1.0,4001
1,2,1.3458029664883049,1.346102243797789,1.3459526051430468,0.0002992773094840917,0.1143155115831268,7.300781496074235e-07,0.007737495556132614,338.0,1.0,4001
2,2,1.3505321800754628,1.3508235459101505,1.3506778629928067,0.0002913658346876957,0.11129355081274273,7.590701032998337e-07,0.008044757337599778,338.0,1.0,4001
3,3,1.3548502696899414,1.3554174956214755,1.3551339665453288,0.0005672259315341321,0.21666434604854912,1.1442870454576076e-06,0.01212735367293114,338.0,1.0,4001
4,2,1.359331451943219,1.3596072084566078,1.3594693301999135,0.0002757565133888473,0.10533122926949154,8.197025476280167e-07,0.008687350556968199,338.0,1.0,4001
5,3,1.3634139166278338,1.3639494710621265,1.3636817803796213,0.000535554434292651,0.2045667252299018,1.2254613846571507e-06,0.01298765347667982,338.0,1.0,4001
6,4,1.3671189569602589,1.3678995022319695,1.3675094939310866,0.0007805452717106753,0.29814633191942524,1.6269069900229775e-06,0.017242244014990415,338.0,1.0,4001
7,3,1.3709738063959576,1.3714786822350273,1.3712263342759379,0.0005048758390697738,0.19284836504549466,1.3394579561406852e-06,0.014195809022414884,338.0,1.0,4001
8,3,1.3744622841935403,1.3749518753140881,1.3747071718099315,0.0004895911205478054,0.1870100326297998,1.401359990354863e-06,0.01485185757681323,338.0,1.0,4001
9,4,1.3776048461953403,1.378316581955505,1.3779609973621505,0.0007117357601647001,0.2718630345731513,1.8418313599297146e-06,0.019520049970355873,338.0,1.0,4001
10,4,1.3806519122157923,1.381341245732123,1.3809968703204851,0.0006893335163307146,0.26330600775108237,1.9058578688413963e-06,0.020198614078109557,338.0,1.0,4001
11,4,1.3836008009430605,1.3842670480041683,1.3839342253612519,0.0006662470611078497,0.2544876314298296,2.0164122330787593e-06,0.021370288511124207,338.0,1.0,4001
12,5,1.38644834048137,1.3889836103555366,1.387212582535854,0.0025352698741667457,0.9684017581094523,2.6645103111791025e-06,0.028238944971992083,338.0,1.0,4001
