f_hz,L_m,dr_name,status,recovered_k,pred_k,peak_err
235.0,2400.0,lam/2,OK,0.704240353179712,0.7041790558629577,6.129731675430516e-05
235.0,2400.0,lam/2,OK,0.7173303225696696,0.7174749660132921,0.00014464344362252746
235.0,2400.0,lam/2,OK,0.730420291959627,0.7304713919642497,5.110000462271724e-05
235.0,2400.0,lam/2,OK,0.7435102613495844,0.7436968814473012,0.0001866200977167498
235.0,2400.0,lam/2,OK,0.7539822368615504,0.7540513293976528,6.909253610243304e-05
283.0,600.0,lam/8,OK,0.513466994649926,0.5131639549985448,0.00030303965138112066
283.0,600.0,lam/8,OK,0.639214013747867,0.6395600320688295,0.0003460183209624823
283.0,600.0,lam/8,OK,0.6601718502641906,0.6601118979289475,5.9952335243029786e-05
283.0,600.0,lam/8,OK,0.6811296867805141,0.6808406897462519,0.00028899703426221723
283.0,600.0,lam/8,OK,0.7125664415549993,0.7126147491249045,4.8307569905259307e-05
283.0,600.0,lam/8,OK,0.7440031963294846,0.7438642296568079,0.00013896667267676577
283.0,600.0,lam/8,OK,0.7754399511039699,0.7751863322979519,0.0002536188060180411
283.0,600.0,lam/8,OK,0.8068767058784552,0.8070821859330263,0.00020548005457110552
283.0,600.0,lam/4,OK,0.6399211088958183,0.6402531721790718,0.0003320632832535253
283.0,600.0,lam/4,OK,0.6609021288596156,0.6607884827991122,0.00011364606050345838
283.0,600.0,lam/4,OK,0.6818831488234128,0.6821609309586103,0.00027778213519746853
283.0,600.0,lam/4,OK,0.713354678769109,0.7132510794064643,0.00010359936264470182
283.0,600.0,lam/4,OK,0.7448262087148049,0.7450906631927658,0.00026445447796097366
283.0,600.0,lam/4,OK,0.7762977386605009,0.7763679945146598,7.025585415887381e-05
283.0,600.0,lam/4,OK,0.8077692686061969,0.8076507735716462,0.00011849503455074739
283.0,600.0,lam/4,OK,0.8602218185156901,0.8604234222970437,0.00020160378135358759
283.0,600.0,lam/2,OK,0.5140349891130344,0.5139739951080641,6.0994004970282845e-05
283.0,600.0,lam/2,OK,0.6399211088958183,0.6402531721790718,0.0003320632832535253
283.0,600.0,lam/2,OK,0.6609021288596156,0.6607884827991122,0.00011364606050345838
283.0,600.0,lam/2,OK,0.6818831488234128,0.6821609309586103,0.00027778213519746853
283.0,600.0,lam/2,OK,0.713354678769109,0.7132510794064643,0.00010359936264470182
283.0,600.0,lam/2,OK,0.7448262087148049,0.7450906631927658,0.00026445447796097366
283.0,600.0,lam/2,OK,0.7762977386605009,0.7763679945146598,7.025585415887381e-05
283.0,600.0,lam/2,OK,0.8077692686061969,0.8076507735716462,0.00011849503455074739
283.0,1200.0,lam/8,OK,0.9425818797650746,0.9426643834025835,8.250363750894607e-05
283.0,1200.0,lam/8,OK,0.9530550117624641,0.9529620844317527,9.292733071142312e-05
283.0,1200.0,lam/8,OK,0.9897109737533283,0.9898287424452696,0.00011776869194135564
283.0,1200.0,lam/8,OK,1.000184105750718,1.00016550097493,1.8604775787967043e-05
283.0,1200.0,lam/8,OK,1.0158938037468026,1.0156957318792843,0.0001980718675183013
283.0,1200.0,lam/8,OK,1.0263669357441922,1.0263121408660283,5.479487816395512e-05
283.0,1200.0,lam/8,OK,1.0420766337402767,1.0421609398207283,8.43060804516238e-05
283.0,1200.0,lam/8,OK,1.0630228977350562,1.0629767560426955,4.614169236072385e-05
283.0,1200.0,lam/4,OK,0.8330740015238595,0.8328296582255637,0.0002443432982958127
283.0,1200.0,lam/4,OK,0.8592712971692639,0.8593598045418915,8.850737262766639e-05
