pair_id,mechanism,z_true,eps_db,seed,J_true_star,J_alt_star,delta_J,delta_J_gt_0,delta_J_gt_0p5,static_blind,blind_label
A01,A,200.0,2.0,2,1.9512909778432022,4.820588764464546,2.8692977866213436,True,True,False,
A01,A,200.0,2.0,3,2.00160258082787,4.737316769435664,2.7357141886077945,True,True,False,
A01,A,200.0,2.0,4,2.028361049474692,4.7987120903617155,2.7703510408870233,True,True,False,
A01,A,220.0,0.0,0,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,220.0,0.0,1,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,220.0,0.0,2,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,220.0,0.0,3,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,220.0,0.0,4,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,220.0,0.25,0,0.25257848210559253,4.37329663789643,4.120718155790837,True,True,False,
A01,A,220.0,0.25,1,0.2505227617783848,4.357148862543001,4.1066261007646165,True,True,False,
A01,A,220.0,0.25,2,0.24381253287689536,4.364531387194717,4.120718854317821,True,True,False,
A01,A,220.0,0.25,3,0.25552129252443967,4.371188113320317,4.115666820795877,True,True,False,
A01,A,220.0,0.25,4,0.24698320658299142,4.36314099356464,4.116157786981648,True,True,False,
A01,A,220.0,0.5,0,0.4981899849453392,4.377677816717878,3.8794878317725385,True,True,False,
A01,A,220.0,0.5,1,0.5036781888623644,4.404190587115634,3.90051239825327,True,True,False,
A01,A,220.0,0.5,2,0.49587724837802466,4.371492339467696,3.875615091089671,True,True,False,
A01,A,220.0,0.5,3,0.5001377792429774,4.399183386999557,3.8990456077565794,True,True,False,
A01,A,220.0,0.5,4,0.5235450717053395,4.3922460533566605,3.868700981651321,True,True,False,
A01,A,220.0,1.0,0,1.0050529963159909,4.419935197435635,3.414882201119644,True,True,False,
A01,A,220.0,1.0,1,1.00209422650791,4.48538584840577,3.48329162189786,True,True,False,
A01,A,220.0,1.0,2,1.0179312236107567,4.458619084818139,3.4406878612073823,True,True,False,
A01,A,220.0,1.0,3,0.9947753010937708,4.4578849343310685,3.4631096332372975,True,True,False,
A01,A,220.0,1.0,4,1.0239924732707169,4.504837868183897,3.480845394913181,True,True,False,
A01,A,220.0,1.5,0,1.4976829535526348,4.583126471234468,3.0854435176818336,True,True,False,
A01,A,220.0,1.5,1,1.4998245929267544,4.597062212190228,3.097237619263474,True,True,False,
A01,A,220.0,1.5,2,1.482762096890968,4.652335516625127,3.1695734197341583,True,True,False,
A01,A,220.0,1.5,3,1.4503977026893713,4.567636683580526,3.1172389808911545,True,True,False,
A01,A,220.0,1.5,4,1.498692065321591,4.523207895220253,3.024515829898662,True,True,False,
A01,A,220.0,2.0,0,1.944909405207231,4.7757274343232226,2.8308180291159912,True,True,False,
A01,A,220.0,2.0,1,1.8839867500725322,4.782828428482203,2.8988416784096707,True,True,False,
A01,A,220.0,2.0,2,2.0135925502183083,4.765830688501095,2.7522381382827863,True,True,False,
A01,A,220.0,2.0,3,1.9766026988533067,4.745706137942437,2.7691034390891307,True,True,False,
A01,A,220.0,2.0,4,1.953824506986683,4.742118344372181,2.788293837385498,True,True,False,
A02,A,180.0,0.0,0,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,180.0,0.0,1,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,180.0,0.0,2,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,180.0,0.0,3,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,180.0,0.0,4,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,180.0,0.25,0,0.24990402214290958,4.269594403798747,4.019690381655837,True,True,False,
A02,A,180.0,0.25,1,0.25552521830808406,4.270592941246202,4.0150677229381175,True,True,False,
A02,A,180.0,0.25,2,0.24840286407260811,4.256596317764694,4.008193453692086,True,True,False,
A02,A,180.0,0.25,3,0.24640393654149,4.255713353408452,4.009309416866962,True,True,False,
A02,A,180.0,0.25,4,0.2506903824236223,4.2637995593188505,4.013109176895228,True,True,False,
A02,A,180.0,0.5,0,0.5002229618848191,4.288645908564636,3.788422946679817,True,True,False,
A02,A,180.0,0.5,1,0.5008404919973736,4.298531999683441,3.797691507686067,True,True,False,
A02,A,180.0,0.5,2,0.5030989003242415,4.278783873518709,3.7756849731944673,True,True,False,
A02,A,180.0,0.5,3,0.5115370010119695,4.293017926332346,3.781480925320376,True,True,False,
A02,A,180.0,0.5,4,0.4887099493342469,4.2864179260549795,3.7977079767207327,True,True,False,
A02,A,180.0,1.0,0,0.9945489767892658,4.38654098717798,3.3919920103887145,True,True,False,
A02,A,180.0,1.0,1,1.0189866904451803,4.38967407037331,3.37068737992813,True,True,False,
A02,A,180.0,1.0,2,1.0255369024686594,4.379523399443294,3.3539864969746347,True,True,False,
A02,A,180.0,1.0,3,1.0039525012122201,4.393709677997747,3.389757176785527,True,True,False,
A02,A,180.0,1.0,4,0.9954878231184585,4.3456272032616345,3.350139380143176,True,True,False,
A02,A,180.0,1.5,0,1.4726240140972642,4.490776060497381,3.0181520464001164,True,True,False,
A02,A,180.0,1.5,1,1.4995004152657967,4.437357386586439,2.937856971320642,True,True,False,
A02,A,180.0,1.5,2,1.4495005328657071,4.48455522371185,3.035054690846143,True,True,False,
A02,A,180.0,1.5,3,1.478405334255998,4.5185931920438644,3.0401878577878665,True,True,False,
A02,A,180.0,1.5,4,1.5369861102908633,4.539766541166149,3.002780430875286,True,True,False,
A02,A,180.0,2.0,0,1.9460971468746202,4.65877423653778,2.71267708966316,True,True,False,
A02,A,180.0,2.0,1,2.030849239973521,4.7069048286126955,2.6760555886391746,True,True,False,
A02,A,180.0,2.0,2,1.9951705020039652,4.720358694872626,2.7251881928686608,True,True,False,
A02,A,180.0,2.0,3,2.0056432128190713,4.7349940912315,2.7293508784124287,True,True,False,
A02,A,180.0,2.0,4,2.0187127038957073,4.723366494145809,2.7046537902501018,True,True,False,
A02,A,200.0,0.0,0,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,200.0,0.0,1,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,200.0,0.0,2,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,200.0,0.0,3,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,200.0,0.0,4,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,200.0,0.25,0,0.2505520280388743,4.256290573647281,4.0057385456084065,True,True,False,
A02,A,200.0,0.25,1,0.25006551986967507,4.263078916094456,4.013013396224782,True,True,False,
A02,A,200.0,0.25,2,0.25078438437326545,4.259979145923022,4.0091947615497565,True,True,False,
A02,A,200.0,0.25,3,0.2492292067288048,4.262698908082918,4.013469701354113,True,True,False,
A02,A,200.0,0.25,4,0.2556268662295428,4.259633784544551,4.004006918315008,True,True,False,
A02,A,200.0,0.5,0,0.5085952335235375,4.2821937550074605,3.773598521483923,True,True,False,
A02,A,200.0,0.5,1,0.5005778618521585,4.292035787941807,3.791457926089649,True,True,False,
A02,A,200.0,0.5,2,0.5116510318969196,4.274581499382281,3.7629304674853614,True,True,False,
A02,A,200.0,0.5,3,0.503539691907628,4.304965346694924,3.8014256547872955,True,True,False,
A02,A,200.0,0.5,4,0.49198863118237346,4.280142718618027,3.7881540874356534,True,True,False,
A02,A,200.0,1.0,0,0.9900978221950085,4.399838867792066,3.409741045597057,True,True,False,
A02,A,200.0,1.0,1,0.9986633858967564,4.37926493300893,3.3806015471121733,True,True,False,
A02,A,200.0,1.0,2,0.9887262375340296,4.383286753954054,3.3945605164200243,True,True,False,
A02,A,200.0,1.0,3,0.9793847971629466,4.379133114103409,3.399748316940462,True,True,False,
A02,A,200.0,1.0,4,0.993180583824913,4.356253530800408,3.3630729469754947,True,True,False,
A02,A,200.0,1.5,0,1.4945251607738839,4.475782538908661,2.9812573781347775,True,True,False,
A02,A,200.0,1.5,1,1.4808214852843458,4.493374603192788,3.0125531179084426,True,True,False,
A02,A,200.0,1.5,2,1.4957393280250153,4.469186578194819,2.9734472501698033,True,True,False,
A02,A,200.0,1.5,3,1.5004395031582078,4.594206791927598,3.0937672887693903,True,True,False,
A02,A,200.0,1.5,4,1.5137083998920198,4.498504082685126,2.984795682793106,True,True,False,
A02,A,200.0,2.0,0,2.0432587590698454,4.727609652088787,2.6843508930189413,True,True,False,
A02,A,200.0,2.0,1,1.9775548517590211,4.685205758386415,2.7076509066273937,True,True,False,
A02,A,200.0,2.0,2,1.993003030303856,4.684269256708463,2.6912662264046068,True,True,False,
A02,A,200.0,2.0,3,2.0039246418394594,4.7253421571886465,2.721417515349187,True,True,False,
A02,A,200.0,2.0,4,2.043275320347344,4.703039956640349,2.6597646362930045,True,True,False,
A02,A,220.0,0.0,0,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,220.0,0.0,1,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,220.0,0.0,2,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,220.0,0.0,3,0.0,4.257545811351039,4.257545811351039,True,True,False,
