pair_id,mechanism,z_true,J_true,J_alt_fixed_z,J_alt_profiled,z_alt_star,z_star_label,wrong_rejected_fixed_z_thr0.5,wrong_rejected_profiled_thr0.5,wrong_rejected_fixed_z_thr1.0,wrong_rejected_profiled_thr1.0,wrong_rejected_fixed_z_thr1.5,wrong_rejected_profiled_thr1.5
C07,C,200.0,0.0,3.4006600001781484,1.6625532726899803,210.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C07,C,220.0,0.0,2.9587813826919214,1.6909571954119855,225.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C08,C,180.0,0.0,4.622529377913993,3.45444426093153,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C08,C,200.0,0.0,3.2784553952774167,1.9177147611447862,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C08,C,220.0,0.0,3.357838642245732,1.998095436168046,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C09,C,180.0,0.0,3.0522649823822854,1.6996091794179937,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C09,C,200.0,0.0,3.3792451777751373,1.6319109201742508,210.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C09,C,220.0,0.0,2.940776774314856,1.6781705631919204,225.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C10,C,180.0,0.0,4.180250158089846,3.130491866689558,165.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C10,C,200.0,0.0,3.983095374802313,3.1960171948711644,165.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C10,C,220.0,0.0,3.9304089612938617,3.147854756474318,165.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
