pair_id,mechanism,z_true,dJ_201,dJ_235,dJ_283,dJ_338,dJ_min,dJ_max,dJ_range
C02,C,220.0,1.8114031196095524,1.0392244817537188,1.5364241897568012,2.7975967530545134,1.0392244817537188,2.7975967530545134,1.7583722713007945
C03,C,180.0,1.833511861854275,1.2883314167315585,1.565596131523997,3.8134203498745314,1.2883314167315585,3.8134203498745314,2.525088933142973
C03,C,200.0,1.8075507457056292,1.4320023064659324,1.5958967521851053,3.810558956958158,1.4320023064659324,3.810558956958158,2.3785566504922255
C03,C,220.0,1.8169634741902652,1.3123525781353045,1.5591983188428569,3.8233440566804164,1.3123525781353045,3.8233440566804164,2.5109914785451117
C04,C,180.0,1.5828868957852997,0.9422178992595057,1.8090028661902333,1.6306300696129612,0.9422178992595057,1.8090028661902333,0.8667849669307276
C04,C,200.0,1.5930867172856316,1.03890870766509,1.7570364876040272,1.6467512250220377,1.03890870766509,1.7570364876040272,0.7181277799389372
C04,C,220.0,1.5895160404400979,0.9643323066127633,1.8405348822628962,1.599061621367592,0.9643323066127633,1.8405348822628962,0.8762025756501329
C05,C,180.0,2.3569545108954735,2.0649217654206997,1.917952627921767,3.7072710337136106,1.917952627921767,3.7072710337136106,1.7893184057918436
C05,C,200.0,2.3732909477569564,1.847980436028797,1.9137950795178589,3.7258379717150474,1.847980436028797,3.7258379717150474,1.8778575356862504
C05,C,220.0,2.3653851974165407,1.9776419137473367,1.9221417774869745,3.6677387045489827,1.9221417774869745,3.6677387045489827,1.7455969270620082
C06,C,180.0,1.1068845451780078,0.8116277076026382,1.2131037751372926,1.2593792530161187,0.8116277076026382,1.2593792530161187,0.4477515454134805
C06,C,200.0,1.1469754469501967,0.5789739038471831,1.1610044268069117,1.228258157323911,0.5789739038471831,1.228258157323911,0.649284253476728
C06,C,220.0,1.1299297076945345,0.591722134789365,1.1678161250021266,1.1000157341978456,0.591722134789365,1.1678161250021266,0.5760939902127616
C07,C,180.0,1.1238990623724319,0.9892830153092702,1.3374267387345327,1.0671177714753473,0.9892830153092702,1.3374267387345327,0.34814372342526245
C07,C,200.0,1.136211646918576,1.0929219120018838,1.2644180324816194,1.0892162439034163,1.0892162439034163,1.2644180324816194,0.17520178857820312
C07,C,220.0,1.227848509433168,0.6352206753960983,1.2486552504422654,1.221240265647429,0.6352206753960983,1.2486552504422654,0.6134345750461672
C08,C,180.0,1.735772500736695,1.4477445043781332,5.695746567731054,1.259981302131411,1.259981302131411,5.695746567731054,4.435765265599643
C08,C,200.0,1.8444673289968274,1.7274722110556093,1.2375773829421386,1.1579227255656024,1.1579227255656024,1.8444673289968274,0.686544603431225
C08,C,220.0,1.8499371796842563,1.1112084917653595,1.5249212952086177,1.6491831303858961,1.1112084917653595,1.8499371796842563,0.7387286879188968
C09,C,180.0,1.1266545798112353,0.9556791864197562,1.301174319110453,1.0754111198392293,0.9556791864197562,1.301174319110453,0.34549513269069676
C09,C,200.0,1.1294706885974959,0.8977589579873634,1.2727114564949145,1.0650782976495423,0.8977589579873634,1.2727114564949145,0.3749524985075511
C09,C,220.0,1.1996933794990052,0.6258282733819406,1.2107044553080977,1.115013006825028,0.6258282733819406,1.2107044553080977,0.5848761819261571
C10,C,180.0,2.392873755983135,1.9712105451126198,2.5721286803686207,1.841051982906255,1.841051982906255,2.5721286803686207,0.7310766974623657
C10,C,200.0,2.421249982132324,1.8258229137721007,2.5510825341901233,1.8551127584231712,1.8258229137721007,2.5510825341901233,0.7252596204180226
C10,C,220.0,2.410726556987329,1.923419625004616,2.5851807804997597,1.8151095525386842,1.8151095525386842,2.5851807804997597,0.7700712279610755
