pair_id,mechanism,z_true,n_lines,frequencies,J_true_star,J_alt_star,delta_J,delta_J_gt_0,delta_J_gt_0p5,static_blind
B08,B,180.0,3,201;235;338,0.0,0.8951760516047261,0.8951760516047261,True,True,False
B08,B,180.0,3,201;283;338,0.0,1.2576313533073944,1.2576313533073944,True,True,False
B08,B,180.0,3,235;283;338,0.0,1.203037315165221,1.203037315165221,True,True,False
B08,B,180.0,4,201;235;283;338,0.0,1.3365362607817093,1.3365362607817093,True,True,False
B08,B,200.0,1,201,0.0,0.5299103771798209,0.5299103771798209,True,True,False
B08,B,200.0,1,235,0.0,0.5084083132616584,0.5084083132616584,True,True,False
B08,B,200.0,1,283,0.0,1.1492990987900378,1.1492990987900378,True,True,False
B08,B,200.0,1,338,0.0,1.2019131521997646,1.2019131521997646,True,True,False
B08,B,200.0,2,201;235,0.0,0.7676663926889387,0.7676663926889387,True,True,False
B08,B,200.0,2,201;283,0.0,0.9234542769362301,0.9234542769362301,True,True,False
B08,B,200.0,2,201;338,0.0,0.9288165139772318,0.9288165139772318,True,True,False
B08,B,200.0,2,235;283,0.0,1.0283152762415941,1.0283152762415941,True,True,False
B08,B,200.0,2,235;338,0.0,1.1372656292317913,1.1372656292317913,True,True,False
B08,B,200.0,2,283;338,0.0,1.4153705041595144,1.4153705041595144,True,True,False
B08,B,200.0,3,201;235;283,0.0,0.9127817919977168,0.9127817919977168,True,True,False
B08,B,200.0,3,201;235;338,0.0,1.1349423319473135,1.1349423319473135,True,True,False
B08,B,200.0,3,201;283;338,0.0,1.2098477194525423,1.2098477194525423,True,True,False
B08,B,200.0,3,235;283;338,0.0,1.2649800425716307,1.2649800425716307,True,True,False
B08,B,200.0,4,201;235;283;338,0.0,1.1385484957850511,1.1385484957850511,True,True,False
B08,B,220.0,1,201,0.0,0.5596317020921683,0.5596317020921683,True,True,False
B08,B,220.0,1,235,0.0,0.4599770670758831,0.4599770670758831,True,False,False
B08,B,220.0,1,283,0.0,1.2047043794167813,1.2047043794167813,True,True,False
B08,B,220.0,1,338,0.0,1.1245007224809715,1.1245007224809715,True,True,False
B08,B,220.0,2,201;235,0.0,0.6802572027520868,0.6802572027520868,True,True,False
B08,B,220.0,2,201;283,0.0,0.9392817159331245,0.9392817159331245,True,True,False
