aperture_tag,aperture_m,note,f_hz,theta_rel_deg,phi1_deg,phi2_deg,delta_u,steering_corr,bartlett_dual_peak,crb_sigma_u,L_required_lambda_over_du_m,resolved_corr_lt_0p95,resolved_sigma_u_lt_du,is_pm_mirror
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-2.0,10.0,8.929557452132053e-19,0.9999999999999998,False,0.010442367873665304,8.399072451467651e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-1.0,2.0,2.797510509857488e-20,0.9999999999999998,False,0.010442367873665304,2.680955075440295e+20,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-1.0,5.0,2.236815581256523e-19,0.9999999999999998,False,0.010442367873665304,3.3529809354184225e+19,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-1.0,10.0,9.209308503117802e-19,0.9999999999999998,False,0.010442367873665304,8.143933931044749e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,1.0,2.0,2.797510509857488e-20,0.9999999999999998,False,0.010442367873665304,2.680955075440295e+20,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,1.0,5.0,2.236815581256523e-19,0.9999999999999998,False,0.010442367873665304,3.3529809354184225e+19,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,1.0,10.0,9.209308503117802e-19,0.9999999999999998,False,0.010442367873665304,8.143933931044749e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,2.0,5.0,1.9570645302707744e-19,0.9999999999999998,False,0.010442367873665304,3.832270159718402e+19,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,2.0,10.0,8.929557452132053e-19,0.9999999999999998,False,0.010442367873665304,8.399072451467651e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,2.0,15.0,2.0491403013745943e-18,0.9999999999999998,False,0.010442367873665304,3.660071491917311e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,2.0,20.0,3.655460858915573e-18,0.9999999999999998,False,0.010442367873665304,2.0517248821602609e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,5.0,10.0,6.972492921861279e-19,0.9999999999999998,False,0.010442367873665304,1.0756554483525966e+19,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,5.0,15.0,1.853433848347517e-18,0.9999999999999998,False,0.010442367873665304,4.0465431267950807e+18,False,False,False
