case,peak_id,k_peak,g_re,g_im,abs_g,prominence
zs4.0_zr70.0,35,1.4319645146922064,-0.6721450995059115,-3.0380574016385435,3.1115224264723773,2.098086099375795
zs4.0_zr70.0,36,1.4333023672751497,1.1577126260345558,-3.493974076848861,3.680781625439314,2.3045390713303915
zs4.0_zr70.0,37,1.4350337059118998,-6.482677710368406,8.705232890010198,10.853855995259133,9.477613441150211
zs4.0_zr70.0,38,1.4369224389701727,1.5177376572881898,0.7630596984371355,1.6987606363845422,1.1372117059447877
zs4.0_zr70.0,39,1.4383389887638773,0.1708368751407755,0.8897257109220466,0.905978519934996,0.7418826754749837
zs4.0_zr70.0,40,1.4395981441360592,0.29219322961632366,0.6849317113648525,0.7446531626648767,0.6500854659407459
zs4.0_zr70.0,41,1.4409359967190025,-0.01595358429905994,0.9484169281061733,0.9485510984498081,0.745191046614853
zs4.0_zr70.0,42,1.4428247297772754,3.7406259190896916,-0.2778377493538687,3.7509300288770553,3.32594282633007
zs4.0_zr70.0,43,1.4507731480641737,-0.6113839562718733,-0.5210406994141302,0.8032893329508451,0.5950074780753789
zs50.0_zr18.0,0,1.3624748775899174,-4.741240405206598,-3.254249388896276,5.750608634318233,3.970477979395861
zs50.0_zr18.0,1,1.3759321006301115,6.3741304575144655,-2.051369871292995,6.696092699348046,4.975710053994381
zs50.0_zr18.0,2,1.388602351562692,2.5884843103213258,0.19723260405804294,2.5959876203254875,1.7620946894253944
zs50.0_zr18.0,3,1.4000134471230905,7.169467627645842,-3.3399973227288924,7.909288727799602,6.4163911313804025
zs50.0_zr18.0,4,1.410558873365114,-3.8647840089391288,-2.362069506443688,4.529451157593239,3.6915461613945064
zs50.0_zr18.0,5,1.4177203195443986,0.3749655767680523,-3.627333674660886,3.646662689513501,1.5897713906837425
zs50.0_zr18.0,6,1.4196090526026715,-15.903928173239521,-2.07352055037687,16.03852919729228,13.981637898462523
zs50.0_zr18.0,7,1.421419088450183,1.3857980909257075,3.4443537314682686,3.712682180889272,2.564415919268587
zs50.0_zr18.0,8,1.4228356382438876,-1.788154050275558,1.5769013245804562,2.3841377256736824,2.0814055939306746
zs50.0_zr18.0,9,1.4241734908268309,-2.032522505952854,0.11332558210745021,2.0356793521487764,1.9005140973553767
zs50.0_zr18.0,10,1.4255900406205355,-0.9884741239877854,-2.1534301326602634,2.3694603668436027,1.9614339479062275
zs50.0_zr18.0,11,1.4275574708895697,-8.279685310838413,1.4451437345363864,8.404857480051827,7.636669636498989
