env,pair_id,mechanism,z_true,J_true_star,J_alt_star,delta_J_env,delta_J_gt_0,delta_J_gt_0p5,static_blind
E2_shift150m_plus2,B05,B,180.0,0.3274679068476131,2.7754616987053193,2.4479937918577064,True,True,False
E2_shift150m_plus2,B05,B,200.0,0.3274679068476131,2.7754616987053193,2.4479937918577064,True,True,False
E2_shift150m_plus2,B05,B,220.0,0.3274679068476131,2.7754616987053193,2.4479937918577064,True,True,False
E0_nominal,B06,B,180.0,0.0,2.6114404981805186,2.6114404981805186,True,True,False
E0_nominal,B06,B,200.0,0.0,2.5121143563802937,2.5121143563802937,True,True,False
E0_nominal,B06,B,220.0,0.0,2.5378214778614967,2.5378214778614967,True,True,False
E1_shift50m,B06,B,180.0,0.5496945053989084,2.551256415214744,2.0015619098158357,True,True,False
E1_shift50m,B06,B,200.0,0.5496945053989084,2.551256415214744,2.0015619098158357,True,True,False
E1_shift50m,B06,B,220.0,0.5496945053989084,2.551256415214744,2.0015619098158357,True,True,False
E2_shift150m_plus2,B06,B,180.0,0.27296359721905933,2.5045619213111743,2.231598324092115,True,True,False
E2_shift150m_plus2,B06,B,200.0,0.27296359721905933,2.5045619213111743,2.231598324092115,True,True,False
E2_shift150m_plus2,B06,B,220.0,0.27296359721905933,2.5045619213111743,2.231598324092115,True,True,False
E0_nominal,B07,B,180.0,0.0,3.154296426752716,3.154296426752716,True,True,False
E0_nominal,B07,B,200.0,0.0,3.188590166002423,3.188590166002423,True,True,False
E0_nominal,B07,B,220.0,0.0,3.1637490647731252,3.1637490647731252,True,True,False
E1_shift50m,B07,B,180.0,0.09768512451211434,3.2030355181751142,3.105350393663,True,True,False
E1_shift50m,B07,B,200.0,0.09768512451211434,3.2030355181751142,3.105350393663,True,True,False
E1_shift50m,B07,B,220.0,0.09768512451211434,3.2030355181751142,3.105350393663,True,True,False
E2_shift150m_plus2,B07,B,180.0,0.05562182651196468,3.1719119181704833,3.116290091658519,True,True,False
E2_shift150m_plus2,B07,B,200.0,0.05562182651196468,3.1719119181704833,3.116290091658519,True,True,False
E2_shift150m_plus2,B07,B,220.0,0.05562182651196468,3.1719119181704833,3.116290091658519,True,True,False
E0_nominal,B08,B,180.0,0.0,1.3365362607817093,1.3365362607817093,True,True,False
E0_nominal,B08,B,200.0,0.0,1.1385484957850511,1.1385484957850511,True,True,False
E0_nominal,B08,B,220.0,0.0,1.3351300938542818,1.3351300938542818,True,True,False
